Altered Mental Status,"An alteration in mental status refers to general changes in brain function, such as confusion,  amnesia (memory loss), loss of alertness, 
disorientation (not cognizant of self, time, or place), defects in judgment or thought, unusual or strange behavior, poor regulation of emotions, and disruptions in perception, psychomotor skills, and behavior. While an altered mental status is obviously characteristic of a number of psychiatric and emotional conditions, medical conditions and injuries that cause damage to the brain, including 
alcohol or drug overdose and withdrawal syndromes, can also cause mental status changes. Confusion, lethargy, delirium, dementia, encephalopathy, and organic brain syndrome are all terms that have been used to refer to conditions hallmarked by mental status changes."
,Health concern on your mind? Visit the Symptom Checker.
Alzheimer's Disease Symptoms and Signs,"
Alzheimer's disease is a common cause of dementia and its associated symptoms. Memory problems that develop slowly over time are often the main or first symptoms of Alzheimer's disease. Later symptoms can include personality changes like apathy, withdrawal, and reduced spontaneity. Trouble with abstract thinking and significant cognitive loss can develop with time. Other symptoms of the mental decline seen in people with Alzheimer's disease can include loss of orientation (to person, place, or time), agitation, irritability, quarrelsomeness, and a diminishing ability to care for him- or herself and to dress appropriately. Mood changes, wandering, erratic behavior, uncooperativeness, and anger can be seen in the later stages of the disease. Physical symptoms can include loss of bowel control or urinary incontinence.
"
,Health concern on your mind? Visit the Symptom Checker.
Anal Itching,"Anal itching (pruritus ani) is due to irritation of the skin around the anus accompanied by a desire to scratch. The intensity of itching increases with moisture, pressure, and sitting. At its most intense, anal itching causes intolerable discomfort described as burning and soreness. Scratching only makes the discomfort worse.  Treatment of anal itching is to shower gently without directly rubbing or irritating the skin and to clean and pat dry the anus thoroughly. Use of moist pads rather than toilet paper after bowel movements can be helpful. Local application of cortisone cream may also reduce inflammation and itching, though prolonged use of cortisone may be damaging to the skin. If anal itching is prolonged, a physician should be consulted and a search made for the cause."
,"Causes of anal itching include, but are not limited to, insufficient cleaning, ingesting spicy foods, diarrhea, anal tear, fungal infection, hemorrhoids, pinworms, anal abrasion, anal leakage, incontinence, and weeping."
Anaphylaxis Symptoms and Signs,"
Anaphylaxis is a rare, severe allergic reaction that is life-threatening. The most common allergic triggers of anaphylaxis include drugs (such as penicillin), 
insect stings, 
foods (peanuts, shellfish), X-ray dye, and 
latex. Symptoms 
and signs can vary and begin either immediately after contact with the allergen or after a short time period (15 minutes to an hour).  Hives, difficulty breathing, a feeling of impending doom, and reduced blood pressure are among the symptoms 
and signs that can occur. The severity of symptoms and signs varies among people; the more rapid the onset of symptoms 
and signs, the greater the likelihood of a severe reaction.
"
,Health concern on your mind? Visit the Symptom Checker.
Anemia,"Anemia is the condition of having less than the normal number of red blood 
cells or less than the normal quantity of hemoglobin in the blood. The 
oxygen-carrying capacity of the blood is, as a result, decreased. People with anemia may 
experience the following symptoms and signs:"
,"
 Children with chronic anemia are prone to infections and learning problems."
Angular Cheilitis Symptoms and Signs,"
Angular cheilitis is inflammation of one or both corners of the mouth. Angular cheilitis is sometimes referred to as angular stomatitis. The inflammation can cause pain in the lips, cracked lips, ulceration, reddened skin, and tenderness at the involved area. Typically, both sides of the mouth are involved, but the condition can occur on one side only. Drooling or dry mouth are sometimes associated symptoms.
"
,Health concern on your mind? Visit the Symptom Checker.
Ankle Pain,"
The ankle joint is the meeting of the bones of the leg and the foot and is responsible for the up and down motion of the foot. In popular usage, the ankle is often considered to be the ankle joint plus the surrounding anatomic region, including the lower end of the leg and the start of the flat part of the foot. Pain in the ankle can result from inflammation or injury to any of the structures in this region, including the bones, joint space, cartilage, ligaments, tendons, or muscles. Ankle pain can be associated with other symptoms including"
," Common causes of ankle pain include sprains or injuries. Rheumatoid arthritis, gout, osteoarthritis, and other types of arthritis can also cause ankle pain. Achilles tendonitis is another potential cause."
Anxiety,Anxiety is a feeling of apprehension and fear characterized by physical symptoms such as
," Anxiety disorders are serious medical illnesses that affect approximately 19 million American adults. In fact, anxiety disorders as a group are the most common mental illness in America. Anxiety disorders can affect adults, children, and adolescents."
Aphasia (Loss of Speech),"
Lack of speech or absence of speech can occur due to both medical and psychological conditions. Absent speech or mutism can occur as a sign of catatonia, a state in which one is unresponsive but otherwise awake. Catatonia can be a sign or schizophrenia or other psychiatric conditions involving psychosis. It may also be a sign of severe depression or other emotional disorders. The antipsychotic medications listed below are used in the treatment of emotional conditions that may manifest as catatonia with lack of speech."
,"
Aphasia is a term used to describe the loss of language or the ability to communicate, typically due to brain damage. Mutism is a speech disorder characterized by the inability to speak. Lack of speech development in children can occur due to deafness or hearing problems. In people who have developed speech, the onset of inability to speak can signal a stroke or other type of brain damage. Head injury, dementia, and brain tumors may be associated with the loss of speech or language functions. 
"
Appendicitis Symptoms and Signs,"
Abdominal pain is the main symptom of appendicitis. The pain starts out as diffuse, meaning it is difficult to localize the area of pain. Most people say the initial pain of appendicitis occurs around the middle portion of the abdomen. As the inflammation of the appendix progresses, the pain becomes localized to one area. Once the peritoneum (lining tissue of the abdomen) is inflamed, the pain of appendicitis is characteristically located at a point between the navel and the front of the right hip bone. Anatomically, this is referred to as McBurney's point."
,"
Another frequent symptom of appendicitis is loss of appetite. Over time, this can worsen, resulting in nausea and vomiting. Other symptoms that can occur are swelling of the abdomen, the inability to pass gas, constipation or diarrhea with 
gas, and a mild to moderate fever."
Arm Pain,"
Pain in the arm can result from a number of factors. Abnormalities or injury of the skin, nerves, bones, joints, blood vessels, and soft tissues of the arm can all result in pain. Arm pain, depending on the location and cause, may be accompanied by numbness, redness, swelling, tenderness, or stiffness of the joints. Injuries or trauma to any part of the arm or shoulder, including bone fractures, joint dislocations, and muscle strains and sprains, are common causes of arm pain. Sometimes diseases that affect other organs in the body, like peripheral vascular disease or arthritis, can be the cause of pain in the arm. Causes of arm pain range from mild annoyances to severe and potentially life-threatening occurrences, such as chest pain from myocardial infarction (heart attack) and angina pectoris that may radiate (spread) to the arm area. The pain of a heart attack can be accompanied by nausea, difficulty breathing, a sense of pressure on the chest, and other symptoms. Treatments for arm pain depend on the underlying cause."
,Health concern on your mind? Visit the Symptom Checker.
Asthma Symptoms and Signs,"Symptoms of asthma develop as a result of the narrowing and inflammation of the airways. Wheezing is a characteristic symptom of asthma, along with shortness of breath. Chest pain or tightness can accompany an asthma attack. Coughing can also be a symptom of asthma. The cough associated with asthma is often worse at night or in the early morning. Nighttime cough can lead to problems with sleep."
,"
Symptoms vary among affected individuals. Some people have mild symptoms that occur infrequently, while others have more frequent or more severe symptoms. Severe asthma attacks can be life-threatening.
"
Atrial fibrillation (AFib) Symptoms and Signs,"Symptoms of atrial fibrillation occur when the upper chambers of the heart (atria) beat in a disorganized fashion. Atrial fibrillation is a type of arrhythmia. Characteristic symptoms include shortness of breath, palpitations, and lightheadedness. In some cases, chest pain can be an associated symptom, particularly if there is also cardiovascular disease present.  (Chest pain or pressure warrants urgent medical evaluation.) Other symptoms of atrial fibrillation are fatigue, confusion, and a reduced tolerance for exercise."
,Health concern on your mind? Visit the Symptom Checker.
Attention Deficit (Inattention),"
Inattention is the lack of focus when focus on a given event or situation is required. Inattention is a hallmark feature of attention deficit-hyperactivity disorder (ADHD), which can affect adults as well as children and teens. Inattention in ADHD is often accompanied by symptoms such as restlessness, problems doing quiet activities, problems with executive function, talking excessively, and fidgeting.  Inattention can also occur due to external factors such as distractions as well as situations of emotional stress, anxiety, conflict, anger, or other mood changes. Inattention can also be related to medical problems that interfere with an individual's cognitive function, such as stroke or dementia. Inattention can be seen in typical young children and  is classified as a disorder only when present to excess and accompanied by problems with normal function. Depression and related conditions can cause mood changes that may include lack of attention and interest in normal daily activities."
,Health concern on your mind? Visit the Symptom Checker.
Autism Symptoms and Signs,"
Autism spectrum disorder (ASD) is a range of neurodevelopmental disorders predominantly characterized by impaired social functioning and communication disturbances. Symptoms can include intense focus on one item, unresponsiveness, lack of understanding social cues (like tone of voice or body language), repetitive movements, or self-abusive behavior like head-banging. The severity of the symptoms varies widely among affected individuals. Other possible symptoms include learning to speak relatively late, not playing interactively with other children, avoidance of eye contact, lack of empathy, and social withdrawal. Children with ASD who have not developed sufficient language skills may act out, including screaming or crying, to express their needs. It is important to note that people with ASD may vary widely in their level of functioning, and not all people with ASD will experience all of the symptoms listed."
,"
Early symptoms and signs in babies may vary but can include lack of eye contact or decreased eye contact, being overly focused on one item, 
and lack of back-and-forth play. Very young children may show early symptoms like loss of interest in social contact and social withdrawal.
"
Avian Influenza (Bird Flu (Avian Influenza) Symptoms and Signs),"
Bird flu (avian flu or avian influenza) is type of influenza virus that mainly affects wild or domesticated birds. Bird flu spreads easily among birds, although transmission to humans is not common. Most human infections occur after exposure to infected birds or their droppings. The H5N1 strain of avian influenza virus arose in the late 1990s and proved to be highly pathogenic (causing severe illness and death) in birds. Since then, other strains of bird flu have been identified that also have the ability to cause severe disease and death. Human infections with a new avian influenza A (H7N9) virus were first reported in China in March 2013."
,"
Bird flu symptoms and signs resemble those of influenza infection and include"
